k,Point,MBR,Grid,Quadtree
20,8058631514,2343524582,431639,51179
40,13602359180,3832985424,545720,52870
60,18130489162,5034804384,560820,68438
80,22262419125,6113090045,610387,88181
100,26069413789,7108150544,741588,106459
