Alpha,Point,MBR,Grid,QuadTree
0.1,742128629,278793557,235662,92707
0.2,382697828,158134076,198139,83787
0.3,262461827,116943593,182263,82192
0.4,202124833,95758580,176303,82156
0.5,167885979,84459682,173608,84559
0.6,0,0,558270,753314
0.7,0,0,558245,1203829
0.8,0,0,549355,1942915
0.9,0,0,552633,2447453
