DataSize,Point,MBR,Grid,Quadtree
10000,30892389,5951703,3480436,359867
25000,73271234,13175701,4063607,198615
50000,155433428,29994030,4081015,145178
75000,305121160,48742282,4866638,188408
100000,480054025,65094045,6809836,160129
