Q,Point,MBR,Grid,Quadtree
1,77618097,49410010,1181104,68983
2,31030893117,8646936721,426052,88913
3,6542666632,2194237804,402389,114198
4,12055755343,3698540025,405922,110511
5,11678717354,3543440171,430092,94609
6,13531261154,4005606584,372750,140464
7,14940726510,4316656566,383400,119154
8,15474105833,4413792451,408149,132227
9,15735553384,4254617941,401089,156763
