Q,Point,MBR,Grid,Quadtree
1,109677308,81420264,1641202,114985
2,426709196,35461922,7251809,119553
3,474343288,69479654,7268795,156260
4,463087080,58216717,7240306,116299
5,438796803,63951808,6413901,207378
6,415351409,62259903,5880182,142338
7,430629981,66160371,6260766,164199
8,401808248,66389547,5780991,124852
9,428640605,67352146,6080991,187267
