Alpha,Point,MBR,Grid,QuadTree
0.1,54324283,36505023,386578,93993
0.2,50892095,36243673,346925,79227
0.3,50262829,36319543,342311,78783
0.4,49401352,36180147,322275,79239
0.5,49481558,37043001,315365,74582
0.6,0,0,257539777,533603
0.7,0,0,0,720991
0.8,0,0,0,1274861
0.9,0,0,0,1494607
