k,Point,MBR,Grid,Quadtree
20,1906838497,251771946,3080182,113807
40,3753714096,486688723,4721436,166501
60,5598257156,726809659,6421231,232363
80,7324132595,974653029,7523287,250101
100,8943828785,1202122124,9231433,277982
