Alpha,Point,MBR,Grid,QuadTree
0.1,2460161,1492690,121340,68550
0.2,2439171,1616595,124879,73121
0.3,2478008,1882710,119533,48245
0.4,2421860,2351320,118646,70222
0.5,18941055,9297814,569680,133798
0.6,0,0,5115687,490210
0.7,0,0,5129402,1217613
0.8,0,0,5143099,1239908
0.9,0,0,5109892,1324715
