Alpha,Point,MBR,Grid,QuadTree
0.1,140911338,42744178,622421,117202
0.2,73821759,28920533,567700,111268
0.3,53524021,24587549,550724,106410
0.4,44487303,22300396,542427,104001
0.5,37381866,20931872,542199,105207
0.6,0,0,5987214,613259
0.7,0,0,5952334,1150964
0.8,0,0,5982327,1687870
0.9,0,0,5929900,2205249
