Q,Point,MBR,Grid,Quadtree
1,21089465,12763522,2652741,213453
2,21581321395,2675927415,4318371,166500
3,2046928301,392110565,3862185,172256
4,7452513517,1116076484,3426585,155095
5,4694863468,728450430,3872387,170001
6,8012287221,1043545341,4398383,167693
7,6753035690,911174896,4549130,183422
8,8690583618,1099563823,3820958,166675
9,9057176095,1144569066,3790535,168167
