k,Point,MBR,Grid,Quadtree
20,2865471559,428513609,2636260,109466
40,4988884480,747933220,4354089,125609
60,6936057202,1048789489,5834466,145024
80,8800994830,1334736234,7594241,173363
100,10591446809,1620542617,8303733,210357
