k,Point,MBR,Grid,Quadtree
20,84951540,33836004,5963660,114911
40,132798659,37838258,13386212,170019
60,183819033,40508672,23667125,208604
80,236075635,44420299,36177206,250692
100,287124824,48345197,48344677,292373
