Q,Point,MBR,Grid,Quadtree
1,14118976,7846973,2935523,193104
2,36391469500,2775409439,4272468,187165
3,1538194786,241248236,3835117,154785
4,10572493203,958668948,3761194,235996
5,4278300646,477360436,3726277,205989
6,12407654176,986125339,3740030,192880
7,5532564451,586577841,3687986,221998
8,9828272664,870189606,3887690,194074
9,7065667771,665744630,3201879,274826
