DataSize,Point,MBR,Grid,Quadtree
10000,475270334,151127630,122765,341416
25000,1460057688,439345380,131381,196244
50000,4283620206,1255291472,155138,247366
75000,8354782106,2574306750,264991,139933
100000,11439282175,3522125789,433591,107841
