DataSize,Point,MBR,Grid,Quadtree
10000,318674983,95649140,160989,215757
25000,779681877,219590622,326939,183446
50000,2185041246,567794562,583366,155831
75000,3555708554,907983597,1259441,213323
100000,4959419130,1199042482,1899078,145528
