DataSize,Point,MBR,Grid,Quadtree
10000,37623447,6436471,4440207,191327
25000,88555108,15380324,6581918,136971
50000,212048796,31803231,10763293,148442
75000,382391893,48475021,14376732,172589
100000,581810306,71711844,16854708,202752
