k,Point,MBR,Grid,Quadtree
20,201635716,46681536,2879588,103254
40,323236016,54866492,5425238,183002
60,435575504,63252123,7894213,277319
80,541202987,73220305,10543293,413434
100,648917700,81961702,14718950,542482
