Alpha,Point,MBR,Grid,QuadTree
0.1,103439306,24578301,29435075,548639
0.2,47962631,9662785,13249097,465524
0.3,29613898,5694072,7839006,405193
0.4,21196656,4152319,5389575,363595
0.5,16561427,3296312,4222238,313358
0.6,108771393,29812344,30648885,540457
0.7,212785611,77800788,60525093,546106
0.8,317409671,151448134,89398907,1496245
0.9,420945782,258529605,118109733,2222205
